Original,Platform,Feature
Desktop,Desktop,No
Mobile,Mobile,No
Playlists,All,No
All Platforms,All,No
Other,No,No
iOS,Mobile,No
Android,Mobile,Yes
Your Library,All,Yes
Podcasts,All,Yes
Developer,All,Yes
Social,All,Yes
Community,All,Yes
Search,All,Yes
Connect,All,Yes
Discover,All,Yes
Country,All,Yes
Browse,All,Yes
Music,All,Yes
Web Player,Desktop,No
Subscription,All,Yes
Partnership,No,No
Radio,All,Yes
Your Music,All,Yes
Friend Feed,Desktop,Yes
Amazon Echo,Smart Speaker,No
Partnerships,No,No
Discover Weekly,All,Yes
Playstation,Console,No
Shows,No,No
0.8.8,No,No
Samsung,No,No
Alexa,Smart Speaker,No
Account,All,Yes
Podcast,All,Yes
Mac,Desktop,No
Language,All,Yes
Queue,All,Yes
Daily Mixes,All,Yes
Android Auto,Car,No
Profile,All,Yes
Android Automotive,Car,No
Artist Page,All,Yes
Discord,Other,No
Wear OS,Watch,No
Wrapped,All,Yes
Samsung Gear,Watch,No
Xbox,Console,No
Release Radar,All,Yes
XBOX ONE,Console,No
Windows,Desktop,No
Spotify for Artists,All,Yes
WebOS,Desktop,No
Sonos,Smart Speaker,No
Security,All,Yes
WearOS,Watch,No
Tizen,Smart TV,No
Smart TV,Smart TV,No
SmartTV,Smart TV,No
Subscriptions,All,Yes
Suggestion,All,Yes
Amazon,No,No
Premium,All,Yes
Plex,No,No
App Install,No,No
Apple Watch,Watch,No
AutoPlay,All,Yes
COUNTRY,All,Yes
Car Thing,Car,No
Chromecast,Smart TV,No
Control4,Smart Speaker,No
Daily Mix,All,Yes
All platforms,All,No
Desktop/Webplayer,Desktop,No
Facebook,Social,No
Filter,All,No
FireTV,Smart TV,No
Following,All,Yes
IFTTT,Other,No
Instagram,Social,No
Kids,All,Yes
Last.fm,Other,No
LightOS,Mobile,No
Musixmatch,Other,No
Amazon Alexa,Smart Speaker,No
PC,Desktop,No
PS4,Console,No
Parternship,Other,No
Ads,All,Yes
Oculus,VR,No